"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 00:22:32 IST 2022","Tue Jun 28 00:23:11 IST 2022","38586","","Verify that user is able to see preferred contact","","Verify that user is able to see preferred contact","Verify that user is able to see preferred contact","Verify that user is able to see preferred contact",""
"failed","Tue Jun 28 00:23:19 IST 2022","Tue Jun 28 00:23:51 IST 2022","32265","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to search industry contact by Industry ","Verify that user is able to search industry contact by Industry ",""
"passed","Tue Jun 28 00:19:59 IST 2022","Tue Jun 28 00:20:19 IST 2022","20831","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to remove industry contact ","Verify that user is able to remove industry contact ",""
"passed","Tue Jun 28 00:21:08 IST 2022","Tue Jun 28 00:21:41 IST 2022","33293","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to search industry contact by name ","Verify that user is able to search industry contact by name ",""
"passed","Tue Jun 28 00:18:50 IST 2022","Tue Jun 28 00:19:15 IST 2022","24865","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to add industry contact ","Verify that user is able to add industry contact ",""
"failed","Tue Jun 28 00:21:49 IST 2022","Tue Jun 28 00:22:24 IST 2022","35434","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to search industry contact by occupation ","Verify that user is able to search industry contact by occupation ",""
"passed","Tue Jun 28 00:18:15 IST 2022","Tue Jun 28 00:18:43 IST 2022","27281","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to add industries ","Verify that user is able to add industries ",""
"passed","Tue Jun 28 00:20:27 IST 2022","Tue Jun 28 00:21:00 IST 2022","33304","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to search industry contact by email ","Verify that user is able to search industry contact by email ",""
"passed","Tue Jun 28 00:17:40 IST 2022","Tue Jun 28 00:18:08 IST 2022","27730","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to add existing occupations ","Verify that user is able to add existing occupations ",""
"passed","Tue Jun 28 00:19:23 IST 2022","Tue Jun 28 00:19:51 IST 2022","28078","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to add Occupations ","Verify that user is able to add Occupations ",""
"passed","Tue Jun 28 00:16:56 IST 2022","Tue Jun 28 00:17:33 IST 2022","36481","","Test Verify Industry Contact","","Test Verify Industry Contact","Verify that user is able to add existing industries ","Verify that user is able to add existing industries ",""
